inspection_id,address,latitude,longitude,location,city,state,zip
2473147,100-108 W GERMANIA PL,41.91048443655356,-87.63168311419044,"(41.91048443655356, -87.63168311419044)",CHICAGO,IL,60610
2492718,6634 W RAVEN ST,41.9946144,-87.7926097,"(41.9946144,-87.7926097)",CHICAGO,IL,60631
2463402,912 N ASHLAND AVE,41.898289314303305,-87.66750000594696,"(41.898289314303305, -87.66750000594696)",CHICAGO,IL,60622
2493124,5900 N Nina AVE,41.9890858,-87.8026557,"(41.9890858,-87.8026557)",CHICAGO,IL,60631
2492996,6040 N Kilpatrick AVE,41.9912004,-87.7464722,"(41.9912004,-87.7464722)",CHICAGO,IL,60646
2484953,2834-2922 W VAN BUREN ST,41.87607517011914,-87.69743686861689,"(41.87607517011914, -87.69743686861689)",CHICAGO,IL,60612
2456815,4619 S Wolcott AVE,41.8096282,-87.6719638,"(41.8096282,-87.6719638)",CHICAGO,IL,60609
2453900,5255 S State ST,41.7995035,-87.625015,"(41.7995035,-87.625015)",CHICAGO,IL,60609
2456433,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2492683,2448 W 63 RD,41.7794232,-87.6855789,"(41.7794232,-87.6855789)",CHICAGO,IL,60629
2401677,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2401472,5630 S Rockwell AVE,41.79098279999999,-87.6895972,"(41.79098279999999,-87.6895972)",CHICAGO,IL,60629
2382533,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2365877,7451 W 100TH PL,41.7093496,-87.8094842,"(41.7093496,-87.8094842)",BRIDGEVIEW,IL,60455
2402026,6237 S HALSTED PKWY,41.7804872,-87.6422731,"(41.7804872,-87.6422731)",CHICAGO,IL,60621
2374072,5208 N LINCOLN AVE AVE,41.97626169999999,-87.6928181,"(41.97626169999999,-87.6928181)",CHICAGO,IL,60625
2386413,8344 S HALSTED ST,41.74201532533156,-87.64393794761001,"(41.74201532533156, -87.64393794761001)",CHICAGO,IL,60620
2384228,3424 S State ST,41.8321532,-87.6272509,"(41.8321532,-87.6272509)",CHICAGO,IL,60616
2402116,13100 S Doty,41.6755502,-87.6017907,"(41.6755502,-87.6017907)",CHICAGO,IL,60827
2370726,1148 N MILWAUKEE AVE,41.90249586026425,-87.66535770275132,"(41.90249586026425, -87.66535770275132)",CHICAGO,IL,60642
2365636,1744 W Pryor,41.6908645,-87.6629395,"(41.6908645,-87.6629395)",CHICAGO,IL,60643
2453438,2332 S Western,41.849557,-87.68695629999999,"(41.849557,-87.68695629999999)",CHICAGO,IL,60608
2401875,5516 S Maplewood AVE,41.7928811,-87.6882064,"(41.7928811,-87.6882064)",CHICAGO,IL,60629
2370655,6040 N Kilpatrick AVE,41.9912004,-87.7464722,"(41.9912004,-87.7464722)",CHICAGO,IL,60646
2369659,522 N MILWAUKEE AVE,41.89173286514732,-87.64865419293943,"(41.89173286514732, -87.64865419293943)",CHICAGO,IL,60642
2370200,1504 N FREMONT ST,41.90871108788052,-87.65119210033504,"(41.90871108788052, -87.65119210033504)",CHICAGO,IL,60642
2363154,4934 S Wabash,41.8046516,-87.6255393,"(41.8046516,-87.6255393)",CHICAGO,IL,60615
2365218,6011 S Rockwell AVE,41.7840433,-87.6883007,"(41.7840433,-87.6883007)",CHICAGO,IL,60629
2362749,4934 S Wabash,41.8046516,-87.6255393,"(41.8046516,-87.6255393)",CHICAGO,IL,60615
